Genus;Epithet;Author;Whole
Asketanthera;picardae;(Urb.) Woodson       ;Asketanthera picardae (Urb.) Woodson       
Macropharynx;steyermarkii;(Markgr.) J.F.Morales       ;Macropharynx steyermarkii (Markgr.) J.F.Morales       
Bahiella;blanchetii;(A.DC.) J.F.Morales       ;Bahiella blanchetii (A.DC.) J.F.Morales       
Bahiella;infundibuliflora;J.F.Morales        ;Bahiella infundibuliflora J.F.Morales        
Beaumontia;grandiflora;Wall.        ;Beaumontia grandiflora Wall.        
Blepharodon;amazonicum;(Benth.) Fontella & Marquete     ;Blepharodon amazonicum (Benth.) Fontella & Marquete     
Blepharodon;ampliflorum;E.Fourn.        ;Blepharodon ampliflorum E.Fourn.        
Blepharodon;angustifolium;Malme        ;Blepharodon angustifolium Malme        
Blepharodon;bicolor;Decne.        ;Blepharodon bicolor Decne.        
Blepharodon;bicuspidatum;E.Fourn.        ;Blepharodon bicuspidatum E.Fourn.        
Blepharodon;colombianum;Morillo        ;Blepharodon colombianum Morillo        
Blepharodon;costae;Fontella & Morillo      ;Blepharodon costae Fontella & Morillo      
Blepharodon;cuatrecasasii;Morillo        ;Blepharodon cuatrecasasii Morillo        
Blepharodon;glaucescens;(Decne.) Fontella       ;Blepharodon glaucescens (Decne.) Fontella       
Blepharodon;gomphocarpoides;(Benth. & Hook.f.) K.Schum.     ;Blepharodon gomphocarpoides (Benth. & Hook.f.) K.Schum.     
Blepharodon;grandiflorum;Benth.        ;Blepharodon grandiflorum Benth.        
Scyphostelma;harlingii;(Morillo) Liede & Meve     ;Scyphostelma harlingii (Morillo) Liede & Meve     
Blepharodon;hatschbachii;Fontella & Marquete      ;Blepharodon hatschbachii Fontella & Marquete      
Blepharodon;maigualidae;Morillo        ;Blepharodon maigualidae Morillo        
Blepharodon;manicatum;(Decne.) Fontella       ;Blepharodon manicatum (Decne.) Fontella       
Blepharodon;mucronatum;(Schltdl.) Decne.       ;Blepharodon mucronatum (Schltdl.) Decne.       
Blepharodon;pictum;(Vahl) W.D.Stevens       ;Blepharodon pictum (Vahl) W.D.Stevens       
Blepharodon;perijaense;Morillo        ;Blepharodon perijaense Morillo        
Blepharodon;philibertioides;Schltr.        ;Blepharodon philibertioides Schltr.        
Blepharodon;polydori;Morillo        ;Blepharodon polydori Morillo        
Blepharodon;reflexum;Malme        ;Blepharodon reflexum Malme        
Blepharodon;salicinum;Decne.        ;Blepharodon salicinum Decne.        
Blepharodon;tillettii;Morillo        ;Blepharodon tillettii Morillo        
Blepharodon;ulei;Schltr.        ;Blepharodon ulei Schltr.        
Oxypetalum;peruvianum;(Markgr.) comb.ined.       ;Oxypetalum peruvianum (Markgr.) comb.ined.       
Condylocarpon;amazonicum;(Markgr.) Ducke       ;Condylocarpon amazonicum (Markgr.) Ducke       
Condylocarpon;glabrum;Müll.Arg.        ;Condylocarpon glabrum Müll.Arg.        
Condylocarpon;guyanense;Desf.        ;Condylocarpon guyanense Desf.        
Condylocarpon;intermedium;Müll.Arg.        ;Condylocarpon intermedium Müll.Arg.        
Condylocarpon;isthmicum;(Vell.) A.DC.       ;Condylocarpon isthmicum (Vell.) A.DC.       
Condylocarpon;myrtifolium;(Miq.) Müll.Arg.       ;Condylocarpon myrtifolium (Miq.) Müll.Arg.       
Condylocarpon;pubiflorum;Müll.Arg.        ;Condylocarpon pubiflorum Müll.Arg.        
Cryptostegia;grandiflora;Roxb. ex R.Br.      ;Cryptostegia grandiflora Roxb. ex R.Br.      
Cryptostegia;madagascariensis;Bojer ex Decne.      ;Cryptostegia madagascariensis Bojer ex Decne.      
Cynanchum;anderssonii;Morillo        ;Cynanchum anderssonii Morillo        
Jobinia;balslevii;(Morillo) W.D.Stevens       ;Jobinia balslevii (Morillo) W.D.Stevens       
