"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1673","Abuta antioquiana Krukoff & Barneby",5.670743,NA,7.4e-05,7.847763,NA,0.139413,7.266827,NA,0.011337,9.690851,NA,0.151306,"Mechanism_1"
"1674","Abuta barbata Miers",5.698602,NA,7.4e-05,7.443664,NA,0.139413,7.407924,NA,0.011337,9.449672,NA,0.151306,"Mechanism_1"
"1675","Abuta brevifolia Krukoff & Moldenke",5.701086,0.000908,1.1e-05,7.688303,0.037534,0.019916,7.230484,0.027608,0.00162,9.712888,0.053705,0.021615,"Mechanism_1"
"1676","Abuta bullata Moldenke",5.696474,0.002137,2.5e-05,7.768907,0.263506,0.046471,7.355441,0.020315,0.003779,9.441466,0.096152,0.050435,"Mechanism_1"
"1677","Abuta candollei Triana & Planch.",5.699269,0.001062,1.1e-05,7.914338,0.042694,0.019916,7.296965,0.041126,0.00162,9.740448,0.048088,0.021615,"Mechanism_1"
"1678","Abuta chiapasensis Krukoff & Barneby",5.695286,0.003708,1.5e-05,7.635364,0.129432,0.027883,7.483649,0.025378,0.002267,9.413889,0.129839,0.030261,"Mechanism_1"
"1679","Abuta chocoensis Krukoff & Barneby",5.702949,NA,7.4e-05,8.73456,NA,0.139413,7.273093,NA,0.011337,10.784731,NA,0.151306,"Mechanism_1"
"1680","Abuta dwyeriana Krukoff & Barneby",5.691204,NA,7.4e-05,7.917172,NA,0.139413,7.381502,NA,0.011337,9.734891,NA,0.151306,"Mechanism_1"
"1681","Abuta fluminum Krukoff & Barneby",5.692264,0.003138,1.5e-05,7.651672,0.341483,0.027883,7.126814,0.047783,0.002267,9.782876,0.347663,0.030261,"Mechanism_1"
"1682","Abuta grisebachii Triana & Planch.",5.695305,0.001356,4e-06,7.821738,0.080991,0.007745,7.221387,0.022068,0.00063,9.789894,0.057306,0.008406,"Mechanism_1"
